date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2017-05-25,209.10028076171875,Range,20,-1852.7394092977645,986676.9776800897,0.9263697046488821,0.033472903258499956,2.1217038958569026,2879.873122924876,0.002763118904407058
2017-05-26,209.05706787109375,Range,-8,765.6204647538976,968935.0516877398,0.957025580942372,0.024679898856852456,1.1735769095665554,5826.680161083549,-0.01798149383607317
2017-05-30,208.87539672851562,Range,20,-1963.5998754799225,974040.7678068886,0.9817999377399613,0.014514169563709722,0.45669655158895633,6033.2215088784715,0.005269410070628977
2017-05-31,208.823486328125,Range,20,-1997.8621641232664,973874.1105344282,0.9989310820616333,0.001585898081243117,0.0248655814748783,71.54770564083604,-0.00017109886769484106
2017-06-01,210.48414611816406,Range,1,-18.327994921961043,958769.7904524846,0.18327994921961044,0.11624440072154346,13.624296116744386,4338.427988318086,-0.015509520089464934
2017-06-02,211.18470764160156,Range,1,-35.6582540879899,958719.6723966238,0.35658254087989905,0.11544912641485718,11.679201270221348,36.59885715330991,-5.2273294757432254e-05
2017-06-05,211.0290069580078,Range,1,-33.73279019095711,958695.6102696757,0.3373279019095711,0.1277053272665997,10.782392871341587,4.063287341243258,-2.5098188386918352e-05
2017-06-06,210.35438537597656,Range,0,-0.0,958394.6921976903,0.16177735965895512,0.15329410375489314,10.354752426100532,77.17114451047222,-0.000313882809895083
2017-06-07,210.74354553222656,Range,0,-0.0,958394.6921976903,0.30567192464797704,0.16693567518464927,8.4915802211596,0.0,0.0
2017-06-08,210.84739685058594,Range,0,-0.0,958394.6921976903,0.3949505039643953,0.1936360058464098,6.5556786058400816,0.0,0.0
2017-06-09,210.5273895263672,Range,0,-0.0,958394.6921976903,0.34428687520950985,0.28275876173777026,4.7902194092389605,0.0,0.0
2017-06-12,210.48414611816406,Range,1,-18.24243285715401,958622.1379071744,0.18242432857154012,0.11568070489537492,13.627766162691175,46.6193817681267,0.0002373194586069438
2017-06-13,211.5133514404297,Range,1,-42.572435411255526,958565.518004694,0.42572435411255527,0.10820488019451406,11.119767889543763,51.461203807722256,-5.9063837816175635e-05
2017-06-14,211.2452392578125,Range,1,-39.33105913190962,958535.8040701548,0.3933105913190962,0.1235089772134017,10.397585355331985,6.847253076550243,-3.099833447073319e-05
2017-06-15,210.83877563476562,Range,1,-30.850898964907337,958497.5863962516,0.30850898964907336,0.14541041311668454,9.794782508304072,17.87946586797471,-3.987088822443585e-05
2017-06-16,210.8848419189453,Range,0,-0.0,958210.092881772,0.5685252503678577,0.22950300194170892,6.736496643015124,68.99644950187022,-0.000299941824121297
2017-06-19,212.6404266357422,Range,20,-1964.5706796046443,959313.8093397646,0.9822853398023221,0.02077538691054292,0.4540483450626032,4340.807183929687,0.0011518522568190193
2017-06-20,211.20635986328125,Range,2,-168.40006547965368,953083.8341534439,0.8420003273982684,0.16640376543378405,1.959224896536622,3864.2147396181967,-0.006494199422197866
2017-06-21,211.1542510986328,Range,0,-0.0,952462.6789893367,0.47131825301497465,0.14376016402260278,11.512444151162171,368.4926220383587,-0.0006517319272957289
2017-06-22,211.05865478515625,Range,0,-0.0,952462.6789893367,0.46249951759034835,0.15670968040945943,10.743132590517856,0.0,0.0
2017-06-23,211.3106689453125,Range,1,-57.021800293809854,952533.187792614,0.5702180029380985,0.1525264836669003,8.69448608643154,126.40042447817112,7.402789089017148e-05
2017-06-26,211.44972229003906,Range,1,-67.03340999130126,952496.158454917,0.6703340999130125,0.14998935330018198,6.608630549299766,21.16952090210819,-3.887459058804499e-05
2017-06-27,209.7462615966797,Range,1,6.6227603247219715,952396.9699559028,-0.06622760324721971,0.24484012794486396,9.098402268221133,154.49106367314198,-0.00010413532709163675
2017-06-28,211.62359619140625,Range,4,-300.0579023062255,952366.7632738174,0.7501447557655638,0.1384146113910106,3.8793719288727924,665.9604370291355,-3.171648276745209e-05
2017-06-29,209.76365661621094,Range,1,13.450720698441154,951598.9252459786,-0.13450720698441154,0.34060027186170144,5.1964854117543045,666.0448655366519,-0.0008062419410765909
2017-06-30,210.1547393798828,Range,0,-0.0,951475.4794198058,0.12147772290277065,0.1379326825219974,13.811003874718725,35.17601436429696,-0.00012972463807792156
2017-07-03,210.51107788085938,Range,0,-0.0,951475.4794198058,0.22614416230164558,0.14596166202145974,12.434616534948821,0.0,0.0
2017-07-05,210.99778747558594,Range,1,-38.13115587497145,951603.5886714254,0.38131155874971445,0.14590018731782875,10.4756748902206,86.90636369447854,0.0001346427253150484
2017-07-06,209.06832885742188,Range,2,51.65557870852437,951661.4607876394,-0.2582778935426218,0.162296454649776,9.95271946061745,193.60949664206277,6.0815361462518425e-05
2017-07-07,210.4241485595703,Range,1,-20.448870679760756,951355.5166434213,0.20448870679760756,0.1824623856558046,8.856894503877141,156.9417753170669,-0.00032148422188382764
2017-07-10,210.65008544921875,Range,2,-65.68695081705444,951376.7201827619,0.3284347540852722,0.21080604764266053,6.843029736707314,99.78650830210967,2.2287713656643504e-05
2017-07-11,210.4936981201172,Range,3,-101.75674506028756,951327.3599109454,0.3391891502009585,0.2969481559341806,4.804401976019538,79.11442853096884,-5.188299310809885e-05
2017-07-12,212.07553100585938,Range,2,-102.67279110413168,951461.5217923941,0.5133639555206584,0.09160878586274006,11.07030942689253,51.89232267793577,0.00014102598863674487
2017-07-13,212.4318389892578,Range,5,-306.5677868938184,951959.8700469383,0.6131355737876367,0.08804794044863355,8.993125539101767,463.09018466135416,0.0005237713172103753
2017-07-14,213.42262268066406,Range,9,-713.9166244071275,952583.6489517813,0.7932406937856973,0.062011128342151514,5.4051560563734355,916.143657040337,0.0006552575633385072
2017-07-17,213.39657592773438,Range,12,-1003.3813102479421,952931.1021345849,0.8361510918732851,0.05866692335599533,4.069322366653413,651.3670256584054,0.0003647482120714418
2017-07-18,213.50961303710938,Range,20,-1797.819879919111,953978.4423733914,0.8989099399595555,0.046541465210722235,2.4234792577608713,1785.4116465077782,0.0010990723636372657
2017-07-19,214.66549682617188,Range,20,-1986.4437397310899,953549.7031139369,0.9932218698655448,0.0057582339651582,0.19526075598391443,404.91034579808655,-0.00044942237728951007
2017-07-20,214.76112365722656,Range,20,-1999.9152475325598,953439.7576336792,0.99995762376628,7.70849202178993e-05,0.0012370028081258883,28.93156152800769,-0.00011530125791947565
2017-07-21,214.56991577148438,Range,1,3.5152377215650787,940019.0314443774,-0.03515237721565079,0.12687161717253517,14.252986927033891,4456.9337844293705,-0.014076113442773153
2017-07-24,214.51780700683594,Range,1,6.366141114852564,939994.5473285028,-0.06366141114852564,0.13683583482377554,13.163259708977241,6.115695439163784,-2.6046404440371873e-05
2017-07-25,215.0392303466797,Range,0,-0.0,939744.8880709894,0.07402962176779027,0.1489645282078901,12.031998899274264,20.09303768988516,-0.0002655964954508816
2017-07-26,215.0479278564453,Range,0,-0.0,939744.8880709894,0.07170800256933285,0.1664815476503524,10.765058539912228,0.0,0.0
2017-07-27,214.84800720214844,Range,1,1.2115468772249505,939888.0490888755,-0.012115468772249505,0.21185585994772377,9.350862724553913,7.111149338784098,0.00015234029969568574
2017-07-28,214.59596252441406,Range,-3,-54.17699169215033,939257.4412789785,-0.18058997230716778,0.2752640492023525,7.430671297421159,132.7526717503346,-0.0006709392788942781
2017-07-31,214.4743194580078,Range,0,0.0,939488.0490074035,-0.4334029534027501,0.39994662811177556,4.5737439083128955,123.26013395261245,0.00024552132172739327
2017-08-01,214.9523162841797,Range,0,-0.0,939488.0490074035,0.082474034373206,0.1765290970830632,14.215840193989909,0.0,0.0
2017-08-02,215.056640625,Range,0,-0.0,939488.0490074035,0.11350719206691195,0.18970544692779698,13.104297777768734,0.0,0.0
2017-08-03,214.63951110839844,Range,0,0.0,939488.0490074035,-0.06634148368667175,0.20691115054525835,12.01987018857435,0.0,0.0
2017-08-04,215.03057861328125,Range,0,-0.0,939488.0490074035,0.11528520248036012,0.30432643031391454,10.694852689579283,0.0,0.0
2017-08-07,215.43032836914062,Range,0,-0.0,939488.0490074035,0.413310865218689,0.34107031709144364,8.089106853423209,0.0,0.0
2017-08-08,214.90020751953125,Range,0,0.0,939488.0490074035,-0.01959602298113855,0.46047253508519614,7.635379370962276,0.0,0.0
2017-08-09,214.89144897460938,Range,0,0.0,939488.0490074035,-0.09078942628398506,0.6522960282824275,5.3654380382056015,0.0,0.0
2017-08-10,211.85824584960938,Range,3,-186.0471480973274,939860.381508024,0.6201571603244247,0.11105342891487202,9.579392291483202,417.86206126890335,0.0003963142490357452
2017-08-11,212.171142578125,Range,2,-143.11181868761759,939458.0344142845,0.715559093438088,0.09943409053312754,7.365048438378841,99.27644077192923,-0.0004280924078253756
2017-08-14,214.27439880371094,Range,20,-1892.8065206166032,943638.7775952672,0.9464032603083017,0.02643996444682278,1.8695841051512856,3992.6814006282702,0.004450164911931509
2017-08-15,214.248291015625,Range,20,-1932.9858621777319,943429.4309561639,0.9664929310888659,0.019872503362968873,1.1238822019916275,86.08355263604898,-0.0002218503987688747
2017-08-16,214.6220245361328,Range,20,-1982.9268841181683,943231.4520994007,0.9914634420590842,0.006886437996013473,0.2940161799494821,107.18443236259907,-0.00020985020211061745
2017-08-17,211.27590942382812,Range,1,-54.23033720707673,936392.1214905847,0.5423033720707673,0.16495595276875552,5.699193146870701,4179.789497708099,-0.007250956903094519
2017-08-18,210.94566345214844,Range,0,-0.0,936107.6202439397,0.5552201315294627,0.23009334619639324,3.9589841718296888,118.34335460179469,-0.00030382704009956907
2017-08-21,211.11077880859375,Range,1,-31.75033754503054,936326.6815002748,0.3175033754503054,0.10678499992856103,12.910236501988928,75.87651809868832,0.00023401289723290475
2017-08-22,213.318359375,Trend,19,-1314.8320788621156,940820.4840201527,0.6920168836116398,0.06714663064180315,7.809646861971606,2959.2469453121635,0.004799395989311561
2017-08-23,212.55352783203125,Trend,20,-1225.5248538901099,940678.757292434,0.6127624269450549,0.08528444385847646,8.219097396301414,200.1319455438411,-0.0001506416262464505
2017-08-24,212.05812072753906,Trend,11,-619.8652099766858,936276.3832882077,0.5635138272515325,0.1024231834397798,7.874291045118462,1363.5060436769315,-0.004679997257403423
2017-08-25,212.55352783203125,Trend,9,-645.2670580825318,935400.3601657969,0.7169633978694798,0.08922241262199239,5.199805853713296,72.1798544096414,-0.0009356458606102347
2017-08-28,212.5622100830078,Trend,11,-886.3965009664131,935245.1342239645,0.8058150008785574,0.0837139785743676,3.2523133286918986,529.5026836710229,-0.0001659459932268348
2017-08-29,212.8055419921875,Trend,20,-1902.5037979019196,935421.2665237611,0.9512518989509597,0.03932735795601634,0.7669931233480105,2239.817469335399,0.00018832741636520822
2017-08-30,213.8137664794922,Trend,2,35.525939290515474,924051.0189715037,-0.17762969645257737,0.09926723176930748,13.862784095377311,4356.2031063987715,-0.012155216007127767
2017-08-31,215.10009765625,Trend,1,-7.730629094129288,923650.4686734615,0.07730629094129288,0.10610900968158758,13.178960477100029,102.03007310155986,-0.0004334720592463759
2017-09-01,215.4042510986328,Trend,1,-14.497028924277643,923610.3237604473,0.14497028924277644,0.11486881083192296,11.904207058365316,14.575112880470227,-4.346331688842575e-05
2017-09-05,213.85723876953125,Trend,1,24.21645733492719,923536.0928437203,-0.24216457334927188,0.1216610335964274,10.249929109130099,82.79159274535733,-8.03703843681447e-05
2017-09-06,214.58726501464844,Trend,1,8.162600528658077,923476.3305769,-0.08162600528658076,0.1452568478192623,9.291669622392742,34.44953224994087,-6.471026664078838e-05
2017-09-07,214.5612030029297,Trend,1,12.51768804227707,923427.2097868883,-0.1251768804227707,0.17724647907603874,7.531595312325556,9.344328161051292,-5.319117381274996e-05
2017-09-08,214.3091583251953,Range,0,0.0,923213.2773832199,-0.31890332332120597,0.2333513639326434,4.9496634866090545,30.912332765999878,-0.00023167218964426084
2017-09-11,216.59498596191406,Range,1,-37.51063386703342,923466.5159119641,0.37510633867033416,0.09077229532372028,12.779043106743078,91.59103919675361,0.0002743012204742268
2017-09-12,217.32504272460938,Range,3,-157.68628912256855,923884.4271558514,0.5256209637418952,0.0849579154240887,10.357822523094594,282.6268451059036,0.00045254617973289335
2017-09-13,217.42933654785156,Range,5,-302.4899451688529,924117.0047841805,0.6049798903377057,0.08885805020741076,8.509841027587141,334.72362270885253,0.0002517388771723361
2017-09-14,217.35977172851562,Range,3,-191.2032541672396,923141.5951365514,0.6373441805574653,0.09425669629141961,7.2189556744709735,260.29943012481436,-0.0010555044897772037
2017-09-15,217.65243530273438,Range,5,-375.8812814537551,923278.57744978,0.7517625629075102,0.08450475410989641,4.864454166623061,420.35998978723325,0.00014838710978914982
2017-09-18,218.11534118652344,Range,20,-1942.8963683322133,924422.6237536944,0.9714481841661067,0.024673760748021214,0.7052005201219163,3562.2131492809754,0.0012391128006830066
2017-09-19,218.33367919921875,Range,20,-1998.1526500080172,924208.5038824887,0.9990763250040087,0.0016084715085763776,0.022710100224850246,120.64307277146628,-0.0002316255203017592
2017-09-20,218.41229248046875,Range,2,73.02702223004584,913107.9589379145,-0.36513511115022923,0.1309991244434016,12.97372218304881,4683.728003253556,-0.012010866485151594
